Date,DIVISLAB.NS,ITC.NS,TCS.NS,SUNPHARMA.NS,ULTRACEMCO.NS,NTPC.NS,SBIN.NS,AXISBANK.NS,DRREDDY.NS,LT.NS,CIPLA.NS,INFY.NS,SBILIFE.NS,SHREECEM.NS,EICHERMOT.NS,BAJAJHLDNG.NS,HCLTECH.NS,ONGC.NS,RELIANCE.NS,AUROPHARMA.NS,HEROMOTOCO.NS,TECHM.NS,INDUSINDBK.NS,WIPRO.NS,POWERGRID.NS,BAJAJ-AUTO.NS,ADANIPORTS.NS,TATASTEEL.NS,GRASIM.NS,BHARTIARTL.NS,M&M.NS,UPL.NS,HINDUNILVR.NS,NESTLEIND.NS,HINDALCO.NS,ICICIBANK.NS,BRITANNIA.NS,COALINDIA.NS,ASIANPAINT.NS,ICICIPRULI.NS,IOC.NS,BAJFINANCE.NS,KOTAKBANK.NS,MARUTI.NS
2009-01-05,288.85540771484375,40.853946685791016,96.16957092285156,94.21206665039062,361.1463928222656,91.09056091308594,114.32958221435547,100.6205825805664,419.37457275390625,311.8248291015625,176.32858276367188,106.26203155517578,,451.56695556640625,21.313024520874023,181.90826416015625,22.920913696289062,64.29029846191406,303.6700134277344,15.346943855285645,491.27557373046875,53.07633972167969,41.68597412109375,47.91301345825195,24.244094848632812,143.96534729003906,71.5377426147461,15.71546745300293,168.8633270263672,293.7236022949219,65.71429443359375,65.9819564819336,183.2749786376953,442.0005798339844,51.17809295654297,75.47540283203125,108.38359069824219,,80.36698913574219,,17.06377410888672,5.8737382888793945,98.51123046875,500.3385009765625
2009-01-06,286.7232666015625,41.196468353271484,94.51774597167969,93.98643493652344,402.7647399902344,89.20124053955078,111.14116668701172,102.35417938232422,433.12384033203125,309.242431640625,178.17539978027344,105.87696075439453,,475.0412292480469,21.08652687072754,183.7897186279297,23.720373153686523,63.72739028930664,304.792724609375,15.505839347839355,498.7225036621094,55.020660400390625,39.468143463134766,47.31836700439453,24.06766700744629,142.18276977539062,72.41728210449219,15.808246612548828,182.54551696777344,281.4502868652344,70.60543060302734,64.28938293457031,186.21640014648438,442.0005798339844,51.13409423828125,79.03102111816406,108.19792175292969,,80.63043212890625,,17.59391212463379,6.014112949371338,95.6192855834961,504.2455749511719
2009-01-07,278.85455322265625,39.70828628540039,94.21910858154297,94.14437103271484,384.184326171875,86.3798599243164,104.1845932006836,93.79398345947266,413.72357177734375,281.7626037597656,171.6652069091797,107.59845733642578,,477.263671875,19.93627166748047,173.4069061279297,20.031946182250977,61.21871566772461,266.9632263183594,13.83740520477295,488.6251220703125,47.11250686645508,34.4893684387207,47.69854736328125,22.80327033996582,133.204345703125,64.5103988647461,14.957205772399902,182.82586669921875,278.4515380859375,67.12284851074219,60.93204116821289,189.4218292236328,442.0005798339844,48.229740142822266,70.63645935058594,104.26575469970703,,78.3387222290039,,17.043535232543945,5.553513526916504,89.73652648925781,507.6138000488281
2009-01-09,268.79962158203125,40.07442855834961,100.21977996826172,99.22544860839844,372.31341552734375,89.80582427978516,102.59247589111328,87.41649627685547,409.27398681640625,262.19403076171875,174.38937377929688,109.0345687866211,,468.1424865722656,19.452186584472656,168.14581298828125,19.377851486206055,59.31284713745117,256.4024963378906,13.731473922729492,506.35870361328125,46.710548400878906,33.946231842041016,48.92683792114258,22.685649871826172,139.89317321777344,61.93583679199219,13.757431030273438,186.61395263671875,273.69647216796875,69.24122619628906,59.01750946044922,198.66094970703125,442.0005798339844,46.29351043701172,68.93791961669922,102.13823699951172,,77.2982406616211,,17.5999813079834,5.461392879486084,85.15145874023438,526.2063598632812
2009-01-12,252.9649658203125,38.999637603759766,95.66563415527344,102.01416778564453,355.9850769042969,86.10276794433594,97.36666870117188,81.14678955078125,416.88275146484375,250.35462951660156,172.7733917236328,105.07508087158203,,459.0214538574219,20.02509307861328,163.8951416015625,19.623130798339844,57.92997741699219,244.09658813476562,13.391609191894531,493.3898620605469,46.000118255615234,32.814697265625,44.33536911010742,22.082860946655273,139.89317321777344,67.77210235595703,12.807212829589844,185.87545776367188,267.249267578125,68.53140258789062,58.85102462768555,199.00039672851562,442.0005798339844,44.13726043701172,66.12968444824219,103.34532928466797,,78.06654357910156,,17.01520538330078,5.321020603179932,81.24612426757812,520.3682250976562
2009-01-13,241.92506408691406,39.85002136230469,98.11071014404297,102.37067413330078,342.6597595214844,84.64168548583984,98.7109146118164,79.09880828857422,402.91107177734375,254.5557098388672,171.15737915039062,111.27701568603516,,453.8357238769531,20.42923927307129,163.54669189453125,19.777578353881836,55.899986267089844,239.5721435546875,12.597114562988281,508.0312805175781,43.63515090942383,32.58837890625,46.850440979003906,21.759403228759766,142.37901306152344,64.08892822265625,12.95758056640625,181.58824157714844,260.05230712890625,67.87702941894531,61.04303741455078,191.98617553710938,442.0005798339844,42.72908401489258,64.23486328125,103.73287200927734,,80.10797119140625,,17.68294906616211,5.242059707641602,79.89901733398438,527.6884155273438
2009-01-14,252.67271423339844,40.32245635986328,100.59308624267578,101.03948211669922,337.4046630859375,86.45543670654297,100.55929565429688,80.73360443115234,423.5571594238281,257.95660400390625,173.5582733154297,118.11322021484375,,458.55828857421875,21.566173553466797,161.14263916015625,21.467342376708984,57.49563217163086,262.2943420410156,13.162089347839355,522.3571166992188,44.08384704589844,34.76094436645508,47.53282928466797,21.80351448059082,143.27845764160156,70.50240325927734,13.635856628417969,175.5984344482422,266.7780456542969,71.53707885742188,59.96089172363281,191.57135009765625,442.0005798339844,44.57731246948242,66.59770965576172,104.9682388305664,,80.38457489013672,,17.66878318786621,5.356112957000732,83.4212417602539,535.0985107421875
2009-01-15,244.45773315429688,39.80277633666992,95.27369689941406,99.68572998046875,336.70086669921875,83.9867172241211,96.38787078857422,77.97601318359375,396.19219970703125,257.1199645996094,168.01771545410156,113.4107894897461,,460.2714538574219,20.891117095947266,158.56436157226562,19.822998046875,55.434593200683594,253.97915649414062,12.588289260864258,525.197021484375,45.177528381347656,33.90097427368164,45.8658561706543,21.480060577392578,145.11013793945312,68.36761474609375,12.65043830871582,178.16941833496094,258.5958251953125,71.3485336303711,57.99087905883789,186.2918243408203,442.0005798339844,42.46506118774414,61.698387145996094,105.08934020996094,,81.64893341064453,,17.312658309936523,5.237673282623291,75.46223449707031,529.8890991210938
2009-01-16,245.96218872070312,40.57048416137695,93.88312530517578,101.07106018066406,347.8210144042969,90.61192321777344,97.80774688720703,79.68267822265625,398.0610046386719,260.8482360839844,169.17198181152344,114.83329010009766,,443.9737243652344,20.833383560180664,162.11819458007812,21.394670486450195,57.50446319580078,270.6539306640625,12.583876609802246,533.085693359375,44.934478759765625,34.44410705566406,46.47026062011719,22.15636444091797,151.06304931640625,68.79824829101562,13.0567626953125,175.55743408203125,271.9186706542969,72.03617095947266,57.71340560913086,189.1578369140625,442.0005798339844,44.00524139404297,63.97820281982422,105.0449447631836,,80.55577087402344,,17.705204010009766,5.246446132659912,78.08228302001953,529.6195678710938
2009-01-19,240.3448486328125,40.31064224243164,93.46319580078125,101.00337982177734,357.251953125,89.88143920898438,96.31645202636719,78.73951721191406,407.0937194824219,264.6673889160156,166.4479217529297,114.34857940673828,,446.61285400390625,20.278240203857422,157.1009979248047,21.0494384765625,59.414794921875,273.444091796875,12.486771583557129,530.0247192382812,44.8316535949707,33.99148941040039,45.1152458190918,23.009098052978516,163.2141571044922,66.46192932128906,13.344711303710938,170.42230224609375,277.1021728515625,68.64231872558594,56.60353088378906,191.72219848632812,442.0005798339844,44.57731246948242,62.29475402832031,105.91290283203125,,81.93868255615234,,17.885290145874023,5.259606838226318,77.10594940185547,515.4730224609375
